Title,Publisher,Sales,Released
Detroit: Become Human Read the review,Sony Interactive Entertainment,3.2,25th May 18
Dragon Quest IV,Enix,3.2,01st Oct 92
Dragon Quest VI: Maboroshi no Daichi,Enix,3.2,09th Dec 95
Final Fight,Capcom,3.2,01st Dec 89
Killer Instinct,Nintendo,3.2,01st Aug 95
Front Mission,Square,3.18,29th Feb 00
Personal Trainer: Cooking,Nintendo,3.18,24th Nov 08
Sonic Heroes,Sega,3.16,27th Jan 04
Star Wars Episode I Racer,LucasArts,3.12,19th May 99
Tekken 6,Namco Bandai,3.12,27th Oct 09
Yoshi,Nintendo,3.12,01st Jul 92
Mario Party 9,Nintendo,3.11,11th Mar 12
Parasite Eve,Square,3.1,09th Sep 98
The Legend of Zelda: Majora's Mask 3D,Nintendo,3.09,13th Feb 15
World Class Track Meet,Bandai,3.08,01st Sep 87
Donkey Kong,Nintendo,3.07,01st Jun 94
New Super Luigi U,Nintendo,3.05,25th Aug 13
Rhythm Heaven Read the review,Nintendo,3.04,05th Apr 09
Mike Tyson's Punch-Out!!,Nintendo,3.02,01st Oct 87
Professor Layton and the Unwound Future,Nintendo,3.02,12th Sep 10
1-2-Switch,Nintendo,3.01,03rd Mar 17
Crysis,Electronic Arts,3,13th Nov 07
DayZ,Bohemia Interactive,3,09th Jul 12
Fable,Microsoft Game Studios,3,14th Sep 04
Gears of War 3,Microsoft Studios,3,20th Sep 11
Gungeon,Devolver Digital,3,05th Apr 16
Heavy Rain Read the review,Sony Computer Entertainment,3,23rd Feb 10
Kinect Sports,Microsoft Game Studios,3,04th Nov 10
MotorStorm Read the review,Sony Computer Entertainment,3,06th Mar 07
Okami,Capcom,3,19th Sep 06
Sonic and the Secret Rings,Sega,3,20th Feb 07
Sonic Rush,Sega,3,15th Nov 05
Space Engineers,Keen Software House,3,28th Feb 19
Torchlight II,Runic Games,3,20th Sep 12
Warcraft II: Tides of Darkness,Blizzard Entertainment,3,30th Apr 96
Warhammer: Vermintide,Fatshark,3,23rd Oct 15
Your Shape,Ubisoft,3,24th Nov 09
Kirby Super Star Ultra Read the review,Nintendo,2.99,22nd Sep 08
Star Fox,Nintendo,2.99,01st Mar 93
Mario vs. Donkey Kong: Mini-Land Mayhem!,Nintendo,2.98,14th Nov 10
Style Savvy,Nintendo,2.98,02nd Nov 09
Super Meat Boy,Unknown,2.97,30th Nov 10
Yokai Watch,Nintendo,2.97,06th Nov 15
The Legend of Zelda: Spirit Tracks Read the review,Nintendo,2.96,07th Dec 09
Fire Emblem Fates,Nintendo,2.94,19th Feb 16
Wave Race 64,Nintendo,2.94,05th Nov 96
Pokémon Ranger,Nintendo,2.93,30th Oct 06
Counter-Strike: Condition Zero,Sierra Entertainment,2.9,23rd Mar 04
Dragon Ball Z: Budokai 2,Atari,2.9,04th Dec 03
Final Fantasy III,Square,2.9,20th Oct 94
Fire Emblem: Three Houses Read the review,Nintendo,2.87,26th Jul 19
Subnautica Read the review,Unknown Worlds Entertainment,2.87,23rd Jan 18
Wii Music,Nintendo,2.86,20th Oct 08
Prison Architect,Introversion Software,2.86,06th Oct 15
F-Zero,Nintendo,2.85,13th Aug 91
Yoshi's Story,Nintendo,2.85,01st Mar 98
The Walking Dead: A Telltale Games Series,Telltale Games,2.85,11th Dec 12
Superhot,SUPERHOT Team,2.84,25th Feb 16
Metroid Prime Read the review,Nintendo,2.84,17th Nov 02
Mario Party: Island Tour,Nintendo,2.83,22nd Nov 13
Yoshi's Island: Super Mario Advance 3,Nintendo,2.83,24th Sep 02
The Legend of Zelda: A Link to the Past,Nintendo,2.82,03rd Dec 02
Thief,Eidos Interactive,2.81,01st Dec 98
Hitman: Absolution,Square Enix,2.81,20th Nov 12
Dragon Quest V: Tenkuu no Hanayome,Enix,2.8,27th Sep 92
Hollow Knight,Team Cherry,2.8,24th Feb 17
Ni no Kuni,Namco Bandai Games,2.8,22nd Jan 13
Tekken 5,Namco,2.8,24th Feb 05
Trine 2,Frozenbyte,2.79,07th Dec 11
Donkey Kong Country Returns 3D,Nintendo,2.76,24th May 13
The Binding of Isaac: Rebirth,Nicalis,2.76,04th Nov 14
Mario Tennis Aces Read the review,Nintendo,2.75,22nd Jun 18
Resident Evil,Capcom,2.75,30th Mar 96
Tetris DS,Nintendo,2.74,20th Mar 06
Metroid,Nintendo,2.73,15th Aug 87
Ring Fit Adventure,Nintendo,2.73,18th Oct 19
Divinity: Original Sin,Focus Home Interactive,2.71,27th Oct 15
1602 A.D.,Sunflowers,2.7,01st Feb 00
Dead Rising 3 Read the review,Microsoft Studios,2.7,22nd Nov 13
Mario Party,Nintendo,2.7,08th Feb 99
World of Warcraft: Mists of Pandaria,Blizzard Entertainment,2.7,25th Sep 12
Star Wars: Shadows of the Empire,Nintendo,2.65,03rd Dec 96
Super Mario Bros. 2 (FDS),Nintendo,2.65,03rd Jun 86
Ace Combat 04: Shattered Skies,Namco,2.64,01st Nov 01
Mario & Luigi: Dream Team,Nintendo,2.63,11th Aug 13
Mario Strikers Charged,Nintendo,2.6,30th Jul 07
Monster Hunter 3G,Capcom,2.6,19th Mar 13
Hotline Miami,Devolver Digital,2.58,23rd Oct 12
Bastion,Warner Bros. Interactive Entertainment,2.58,16th Aug 11
Clubhouse Games,Nintendo,2.57,09th Oct 06
Kirby Star Allies Read the review,Nintendo,2.56,16th Mar 18
Kirby: Triple Deluxe,Nintendo,2.56,02nd May 14
Pokémon Stadium 2,Nintendo,2.54,28th Mar 01
Dragon Ball: Xenoverse 2,Namco Bandai Games,2.52,25th Oct 16
Perfect Dark,Rare,2.52,22nd May 00
